policy,domain,structure,tp,fp,fn,precision,recall,f1
minimal,Chats,regular,29,0,1,1.000000,0.966667,0.983051
minimal,Chats,structured,22,0,1,1.000000,0.956522,0.977778
minimal,Chats,unstructured,30,0,1,1.000000,0.967742,0.983607
minimal,E-Mail,regular,9,0,2,1.000000,0.818182,0.900000
minimal,E-Mail,structured,13,0,1,1.000000,0.928571,0.962963
minimal,E-Mail,unstructured,11,0,3,1.000000,0.785714,0.880000
minimal,HR-Dokumente,regular,8,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,7,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,8,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,6,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,8,0,0,1.000000,1.000000,1.000000
minimal,Verträge,regular,11,0,5,1.000000,0.687500,0.814815
minimal,Verträge,structured,13,0,0,1.000000,1.000000,1.000000
minimal,Verträge,unstructured,9,0,1,1.000000,0.900000,0.947368
