policy,mode,domain,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,81,4,4,0.952941,0.952941,0.952941
minimal,combined,E-Mail,33,2,6,0.942857,0.846154,0.891892
minimal,combined,HR-Dokumente,22,1,1,0.956522,0.956522,0.956522
minimal,combined,Supporttickets,21,0,1,1.000000,0.954545,0.976744
minimal,combined,Verträge,31,3,8,0.911765,0.794872,0.849315
minimal,ner,Chats,67,5,6,0.930556,0.917808,0.924138
minimal,ner,E-Mail,8,2,6,0.800000,0.571429,0.666667
minimal,ner,HR-Dokumente,8,1,2,0.888889,0.800000,0.842105
minimal,ner,Supporttickets,9,0,1,1.000000,0.900000,0.947368
minimal,ner,Verträge,29,4,9,0.878788,0.763158,0.816901
minimal,regex,Chats,18,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,25,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,15,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,12,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,14,0,1,1.000000,0.933333,0.965517
