policy,mode,domain,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,81,5,3,0.941860,0.964286,0.952941
minimal,combined,E-Mail,33,2,6,0.942857,0.846154,0.891892
minimal,combined,HR-Dokumente,21,3,2,0.875000,0.913043,0.893617
minimal,combined,Supporttickets,21,3,1,0.875000,0.954545,0.913043
minimal,combined,Verträge,32,1,7,0.969697,0.820513,0.888889
minimal,ner,Chats,63,10,9,0.863014,0.875000,0.868966
minimal,ner,E-Mail,8,2,6,0.800000,0.571429,0.666667
minimal,ner,HR-Dokumente,7,3,3,0.700000,0.700000,0.700000
minimal,ner,Supporttickets,9,3,1,0.750000,0.900000,0.818182
minimal,ner,Verträge,19,13,19,0.593750,0.500000,0.542857
minimal,regex,Chats,18,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,25,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,15,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,12,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,14,0,1,1.000000,0.933333,0.965517
